t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
0.0,-1875.0,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1625.0000000000002,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1375.0,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1125.0000000000002,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-874.9999999999999,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-625.0000000000001,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-374.9999999999999,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-125.00000000000011,250.0,aBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.687499999999917,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,14.062499999999753,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,23.437499999999588,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,32.812499999999424,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,42.187499999999254,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,51.56249999999909,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,60.93749999999893,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,70.31249999999876,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,79.6874999999986,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,89.06249999999844,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,98.43749999999827,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,107.8124999999981,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,117.18749999999794,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,126.56249999999777,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,135.9374999999976,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,145.31249999999744,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,150.28333333333075,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,150.84999999999752,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,151.4166666666643,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,151.98333333333105,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,152.54999999999782,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,153.1166666666646,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,153.89999999999804,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,154.8999999999982,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,155.8999999999983,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,156.89999999999844,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,157.89999999999858,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,158.8999999999987,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,159.89999999999884,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,160.89999999999898,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,161.89999999999912,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,162.89999999999924,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,163.89999999999938,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,164.89999999999952,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,166.1062499999995,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,167.51874999999936,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,168.9312499999992,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,170.34374999999906,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,171.75624999999891,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,173.16874999999877,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,174.58124999999862,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,175.99374999999847,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,181.3874999999983,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,190.76249999999814,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,200.13749999999797,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,209.5124999999978,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,218.88749999999763,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,228.2624999999975,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,237.63749999999732,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,247.01249999999715,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,256.387499999997,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,265.7624999999968,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,275.13749999999663,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,284.51249999999646,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,293.8874999999963,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,303.2624999999962,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,312.637499999996,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,322.01249999999584,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,451.69999999999584,250.0,cBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,701.6999999999961,250.0,cBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,951.6999999999963,250.0,cBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1201.6999999999964,250.0,cBP,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
