time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,-9.25541418784,-9.2554433184,0,0,0,0,0,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-9.0927284907,-8.97927482168,-8.94948523475,-8.97927463869,-9.0927378895,-9.25535569307,-9.25538481653,0,0,0,0,0,0.976479393419,0.97685928414,0.976958902469,0.97685928475,0.976479361988,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,9.31892669143e-11,9.18853287254e-11,9.15299273834e-11,9.1885326202e-11,9.31893791333e-11,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,2.21510023566e-10,2.18410574579e-10,2.17565788884e-10,2.18410568581e-10,2.2151029031e-10,2.99992609555,2.99992609555,2.99992609556,2.99992609555,2.99992609555,4.19793898128e-06,4.19696461866e-06,4.19672690391e-06,4.19696461765e-06,4.19793905664e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21307809904e-05,-0.00108199912878,0.104536334049,-0.105526202397,9.31199561904e-14,-1.15507500737e-21,1.74145961517e-05,1.82185054672e-11,4.22066793784e-10
0.05,0.00025,6.25e-06,0,-9.0975449704,-8.97954506383,-8.94967419837,-8.97954490875,-9.09755440951,-9.25529895112,-9.2553280675,0,0,0,0,0,0.944896576524,0.945277845502,0.945374182193,0.945277846001,0.94489654608,5.10178420455e-10,5.03235373308e-10,5.0139843719e-10,5.03235361633e-10,5.10179000692e-10,5.10178420455e-10,5.03235373308e-10,5.0139843719e-10,5.03235361633e-10,5.10179000692e-10,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,1.21268937593e-09,1.19618581723e-09,1.19181943711e-09,1.19618578948e-09,1.21269075515e-09,2.9998582042,2.9998581953,2.99985819338,2.9998581953,2.9998582042,8.39599290037e-06,8.39396876123e-06,8.39349158095e-06,8.39396875968e-06,8.39599305176e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397842624071,-0.00207766531543,0.2090485856,-0.210728408291,1.22429844041e-13,-2.28937123775e-21,1.74142518848e-05,7.28740218687e-11,8.20989270223e-10
0.075,0.000375,1.40625e-05,0,-9.10233287132,-8.97982210493,-8.94985784822,-8.97982197772,-9.10234235055,-9.25524395109,-9.25527306042,0,0,0,0,0,0.926405899171,0.926793419507,0.926887977097,0.926793419906,0.926405869256,1.48688746949e-09,1.46664415684e-09,1.4614364624e-09,1.46664412752e-09,1.48688911574e-09,1.48688746949e-09,1.46664415684e-09,1.4614364624e-09,1.46664412752e-09,1.48688911574e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,3.53431773115e-09,3.48619956463e-09,3.47382092323e-09,3.48619949493e-09,3.53432164427e-09,2.99979033801,2.99979032079,2.99979031715,2.99979032079,2.99979033801,1.25941560994e-05,1.25910138631e-05,1.25902952635e-05,1.25910138614e-05,1.25941563274e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930099914474,-0.00307435468694,0.313536897545,-0.315681152317,9.82547376793e-14,-2.30657659449e-21,1.74139442815e-05,1.63966549205e-10,1.21968500909e-09
0.1,0.0005,2.5e-05,0,-9.10709221326,-8.98010559173,-8.95003603366,-8.98010549234,-9.10710173245,-9.2551906821,-9.25521978438,0,0,0,0,0,0.913275610577,0.913671224493,0.913764636932,0.9136712248,0.913275581005,3.25684357694e-09,3.21195199037e-09,3.20070746453e-09,3.21195193512e-09,3.25684713409e-09,3.25684357694e-09,3.21195199037e-09,3.20070746453e-09,3.21195193512e-09,3.25684713409e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,7.74148699058e-09,7.63478010546e-09,7.60805197177e-09,7.63477997415e-09,7.7414954459e-09,2.99972261035,2.99972258453,2.99972257914,2.99972258453,2.99972261036,1.67924307725e-05,1.67881010385e-05,1.67871387706e-05,1.67881010372e-05,1.67924310779e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169624177569,-0.00407096013799,0.418001412681,-0.420376131043,3.26794147298e-13,2.67953578908e-21,1.74136731381e-05,2.91496087475e-10,1.61835801037e-09
0.125,0.000625,3.90625e-05,0,-9.11182307212,-8.98039525724,-8.95020868753,-8.98039518563,-9.11183263108,-9.25513913326,-9.25516822852,0,0,0,0,0,0.903082610931,0.903487234002,0.903579862418,0.90348723422,0.903082581599,6.05373920632e-09,5.96883338089e-09,5.94810008464e-09,5.96883329381e-09,6.05374576878e-09,6.05373920632e-09,5.96883338089e-09,5.94810008464e-09,5.96883329381e-09,6.05374576878e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,1.43896819737e-08,1.41878616137e-08,1.41385787607e-08,1.41878614067e-08,1.43896975726e-08,2.99965505578,2.99965502107,2.99965501391,2.99965502107,2.99965505578,2.09908173966e-05,2.0985231469e-05,2.09840230163e-05,2.09852314684e-05,2.09908177798e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270144357262,-0.00506748063111,0.522442273423,-0.524808310481,3.922417946e-13,3.09564072442e-21,1.74134384484e-05,4.55462636679e-10,2.01701422836e-09
0.15,0.00075,5.625e-05,0,-9.11652554301,-8.98069086616,-8.95037577172,-8.98069082229,-9.11653514157,-9.25508929376,-9.25511838201,0,0,0,0,0,0.894747572209,0.895161718095,0.895253801715,0.895161718227,0.894747543053,1.01114272279e-08,9.96679802597e-09,9.93232740755e-09,9.9667979056e-09,1.01114381421e-08,1.01114272279e-08,9.96679802597e-09,9.93232740755e-09,9.9667979056e-09,1.01114381421e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,2.40347687851e-08,2.36909865129e-08,2.36090501725e-08,2.36909862268e-08,2.40347947282e-08,2.99958770722,2.99958766335,2.99958765442,2.99958766335,2.99958770723,2.51893163635e-05,2.51824063333e-05,2.51809489192e-05,2.5182406334e-05,2.51893168252e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394971329981,-0.00606391038951,0.626859621711,-0.6289738188,5.60218538226e-13,1.25043238838e-21,1.74132402109e-05,6.55866196818e-10,2.41565531666e-09
0.175,0.000875,7.65625e-05,0,-9.12119973278,-8.98099220368,-8.950537266,-8.9809921875,-9.12120937076,-9.25504115282,-9.25507023407,0,0,0,0,0,0.887694741148,0.888118715039,0.888210427753,0.888118715086,0.887694712124,1.56639160661e-08,1.54351917564e-08,1.53819262274e-08,1.54351916078e-08,1.56639329333e-08,1.56639160661e-08,1.54351917564e-08,1.53819262274e-08,1.54351916078e-08,1.56639329333e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,3.72329832805e-08,3.66893077166e-08,3.6562696048e-08,3.66893073636e-08,3.72330233737e-08,2.99952059588,2.99952054259,2.99952053186,2.99952054259,2.99952059589,2.9387928066e-05,2.9379626805e-05,2.93779173983e-05,2.93796268072e-05,2.93879286069e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054443253022,-0.00706024249551,0.731253598952,-0.732869516145,9.69890834313e-13,-9.11619209482e-22,1.74130784244e-05,8.92706767891e-10,2.81428237477e-09
0.2,0.001,0.0001,0,-9.12584575601,-8.98129906949,-8.95069316212,-8.98129908096,-9.12585543324,-9.25499469968,-9.25502377396,0,0,0,0,0,0.881580440472,0.882014426758,0.882105903208,0.882014426722,0.881580411549,2.29453648885e-08,2.26031974295e-08,2.25252563162e-08,2.26031972666e-08,2.2945389567e-08,2.29453648885e-08,2.26031974295e-08,2.25252563162e-08,2.26031972666e-08,2.2945389567e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,5.45409196304e-08,5.37275907523e-08,5.35423254484e-08,5.37275903651e-08,5.45409782909e-08,2.99945375129,2.9994536883,2.99945367575,2.9994536883,2.99945375129,3.35866529012e-05,3.35768940521e-05,3.35749293735e-05,3.35768940565e-05,3.35866535219e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718804931415,-0.00805646928146,0.835624345979,-0.836492765946,1.03916875105e-12,6.6121509445e-22,1.74129530882e-05,1.1659843499e-09,3.21289617878e-09
0.225,0.001125,0.0001265625,0,-9.13046373267,-8.98161127429,-8.95084346031,-8.98161131335,-9.13047344898,-9.25494992367,-9.25497899099,0,0,0,0,0,0.876182988802,0.87662709639,0.876718445684,0.876627096272,0.876182959955,3.21900788367e-08,3.16998357763e-08,3.15904996975e-08,3.16998356236e-08,3.21901134445e-08,3.21900788367e-08,3.16998357763e-08,3.15904996975e-08,3.16998356236e-08,3.21901134445e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,7.65155189844e-08,7.53502157745e-08,7.50903249287e-08,7.53502154115e-08,7.65156012468e-08,2.99938720135,2.99938712841,2.99938711404,2.99938712841,2.99938720135,3.77854912704e-05,3.77742092382e-05,3.77719857654e-05,3.7774209245e-05,3.77854919715e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0.200000009936,0.200000009788,0.200000009755,0.200000009788,0.200000009936,-0.0883598382919,-0.00532872083407,-0.00326824796684,-0.00532923850298,-0.0883605805554,-0.855385713523,-0.854151712759,-0.853877679787,-0.854151712409,-0.855385800087,2.45923090029e-08,2.4226487221e-08,2.41431355912e-08,2.42264870359e-08,2.4592335369e-08,0,0.00918328643865,-0.00905258259674,0.939972003025,-0.939841299182,1.08779651953e-12,2.51462906216e-22,1.74128642017e-05,1.47569894284e-09,3.61149729109e-09
