time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-30,-30,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,0,0,0,0,0,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.025,0.000125,1.5625e-06,0,-29.9458000646,-29.9191133348,-29.9492208047,-29.9191133348,-29.9458000646,-29.999980512,-29.999980512,1,1,0.624511558772,1,1,0.906748134213,0.906839314279,0.906736679282,0.906839314279,0.906748134213,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,2.99992609453,2.99992609453,2.99992609453,2.99992609453,2.99992609453,4.37315551435e-06,4.37243581534e-06,4.37324778059e-06,4.37243581534e-06,4.37315551435e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89031972423,0.000106278608589,-0.00107443133628,0.000270999677204,2.88908057183,2.04513597897e-13,-1.22091858413e-22,1.74145970669e-05,1.82185054672e-11,4.21151584366e-10,-29.9458000646,-29.9191133348,-29.9492208047,-29.9191133348,-29.9458000646,-29.999980512,-29.999980512,0.906748134213,0.906839314279,0.906736679282,0.906839314279,0.906748134213,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.05,0.00025,6.25e-06,0,-29.8917209333,-29.838378276,-29.8982611158,-29.838378276,-29.8917209333,-29.9999415865,-29.9999415865,1,1,0.624511558772,1,1,0.877834467182,0.878008690639,0.87781357867,0.878008690639,0.877834467182,1.87444563893e-09,1.87307416617e-09,1.87462143452e-09,1.87307416617e-09,1.87444563893e-09,1.87444563893e-09,1.87307416617e-09,1.87462143452e-09,1.87307416617e-09,1.87444563893e-09,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,4.45553990714e-09,4.4522799291e-09,4.45595777161e-09,4.4522799291e-09,4.45553990714e-09,2.99986225626,2.9998622344,2.99986225907,2.9998622344,2.99986225626,8.74531749682e-06,8.74336961637e-06,8.74555121301e-06,8.74336961637e-06,8.74531749682e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78063944846,0.000451993867968,-0.00200377646115,0.000812395010575,5.77827527086,-1.04899162273e-13,-4.95355455466e-21,1.74142785913e-05,7.28740218687e-11,7.94282759177e-10,-29.8917209333,-29.838378276,-29.8982611158,-29.838378276,-29.8917209333,-29.9999415865,-29.9999415865,0.877834467182,0.878008690639,0.87781357867,0.878008690639,0.877834467182,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.87444563893e-09,1.87307416617e-09,1.87462143452e-09,1.87307416617e-09,1.87444563893e-09,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.075,0.000375,1.40625e-05,0,-29.8377647297,-29.7577975605,-29.8471265926,-29.7577975605,-29.8377647297,-29.9998832747,-29.9998832747,1,1,0.624511558772,1,1,0.860970567633,0.861225346674,0.860941450575,0.861225346674,0.860970567633,5.27058040811e-09,5.26306575961e-09,5.27150955921e-09,5.26306575961e-09,5.27058040811e-09,5.27058040811e-09,5.26306575961e-09,5.27150955921e-09,5.26306575961e-09,5.27058040811e-09,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.25281207704e-08,1.25102585206e-08,1.2530329354e-08,1.25102585206e-08,1.25281207704e-08,2.999797684,2.99979763385,2.99979769021,2.99979763385,2.999797684,1.31165849416e-05,1.31129477926e-05,1.3116995003e-05,1.31129477926e-05,1.31165849416e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6709591727,0.00104893663147,-0.0029452025817,0.00162357136226,8.66743933539,1.80728262217e-13,1.77228409323e-21,1.74139931616e-05,1.63966549205e-10,1.17080496104e-09,-29.8377647297,-29.7577975605,-29.8471265926,-29.7577975605,-29.8377647297,-29.9998832747,-29.9998832747,0.860970567633,0.861225346674,0.860941450575,0.861225346674,0.860970567633,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,5.27058040811e-09,5.26306575961e-09,5.27150955921e-09,5.26306575961e-09,5.27058040811e-09,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.1,0.0005,2.5e-05,0,-29.7839307096,-29.6773696632,-29.795818597,-29.6773696632,-29.7839307096,-29.9998056275,-29.9998056275,1,1,0.624511558772,1,1,0.849038780771,0.849372501378,0.849002496835,0.849372501378,0.849038780771,1.13103031714e-08,1.1286461336e-08,1.13131443538e-08,1.1286461336e-08,1.13103031714e-08,1.13103031714e-08,1.1286461336e-08,1.13131443538e-08,1.1286461336e-08,1.13103031714e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,2.68844857888e-08,2.68278139673e-08,2.68912392532e-08,2.68278139673e-08,2.68844857888e-08,2.99973329938,2.99973321119,2.99973330995,2.99973321119,2.99973329938,1.74869346779e-05,1.74811348546e-05,1.74875500017e-05,1.74811348546e-05,1.74869346779e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5612788969,0.0019037237216,-0.00388585619804,0.00270391781437,11.5565928466,-4.94847218757e-14,-2.23140242042e-21,1.74137443221e-05,2.91496087475e-10,1.54717397271e-09,-29.7839307096,-29.6773696632,-29.795818597,-29.6773696632,-29.7839307096,-29.9998056275,-29.9998056275,0.849038780771,0.849372501378,0.849002496835,0.849372501378,0.849038780771,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.13103031714e-08,1.1286461336e-08,1.13131443538e-08,1.1286461336e-08,1.13103031714e-08,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.125,0.000625,3.90625e-05,0,-29.7302184052,-29.597093479,-29.7443388865,-29.597093479,-29.7302184052,-29.9997086955,-29.9997086955,1,1,0.624511558772,1,1,0.839808776335,0.84022022912,0.839766312701,0.84022022912,0.839808776335,2.07391011933e-08,2.06813408062e-08,2.07457276027e-08,2.06813408062e-08,2.07391011933e-08,2.07391011933e-08,2.06813408062e-08,2.07457276027e-08,2.06813408062e-08,2.07391011933e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,4.92966512796e-08,4.91593553748e-08,4.93124021934e-08,4.91593553748e-08,4.92966512796e-08,2.99966906667,2.99966893141,2.99966908233,2.99966893141,2.99966906667,2.18563699029e-05,2.18479345499e-05,2.18572117542e-05,2.18479345499e-05,2.18563699029e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4515986212,0.00302098306199,-0.00482672537249,0.00405282578814,14.4457400531,1.00579440609e-12,-2.78170913834e-21,1.74135317849e-05,4.55462636679e-10,1.92367771224e-09,-29.7302184052,-29.597093479,-29.7443388865,-29.597093479,-29.7302184052,-29.9997086955,-29.9997086955,0.839808776335,0.84022022912,0.839766312701,0.84022022912,0.839808776335,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,2.07391011933e-08,2.06813408062e-08,2.07457276027e-08,2.06813408062e-08,2.07391011933e-08,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.15,0.00075,5.625e-05,0,-29.6766273488,-29.5169679119,-29.6926892013,-29.5169679119,-29.6766273488,-29.9995925293,-29.9995925293,1,1,0.624511558772,1,1,0.832287224617,0.832775439085,0.832239519703,0.832775439085,0.832287224617,3.42963970369e-08,3.41777410799e-08,3.4309484782e-08,3.41777410799e-08,3.42963970369e-08,3.42963970369e-08,3.41777410799e-08,3.4309484782e-08,3.41777410799e-08,3.42963970369e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,8.15222178201e-08,8.12401737103e-08,8.15533272689e-08,8.12401737103e-08,8.15222178201e-08,2.99960502407,2.99960483274,2.99960504548,2.99960483274,2.99960502407,2.62248953188e-05,2.62133528506e-05,2.622597729e-05,2.62133528506e-05,2.62248953188e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3419183454,0.00440427022824,-0.00576770043339,0.00566968904391,17.3348852261,1.91561350116e-12,-8.45709458274e-22,1.74133555718e-05,6.55866196818e-10,2.30029443452e-09,-29.6766273488,-29.5169679119,-29.6926892013,-29.5169679119,-29.6766273488,-29.9995925293,-29.9995925293,0.832287224617,0.832775439085,0.832239519703,0.832775439085,0.832287224617,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,3.42963970369e-08,3.41777410799e-08,3.4309484782e-08,3.41777410799e-08,3.42963970369e-08,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.175,0.000875,7.65625e-05,0,-29.6231570863,-29.4369918957,-29.6408712855,-29.4369918957,-29.6231570863,-29.9994571792,-29.9994571792,1,1,0.624511558772,1,1,0.825944315972,0.826508480091,0.825892272416,0.826508480091,0.825944315972,5.27155977422e-08,5.24977216122e-08,5.27386701039e-08,5.24977216122e-08,5.27155977422e-08,5.27155977422e-08,5.24977216122e-08,5.27386701039e-08,5.24977216122e-08,5.27155977422e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.25304487146e-07,1.24786597604e-07,1.25359329936e-07,1.24786597604e-07,1.25304487146e-07,2.9995412019,2.99954094564,2.99954122961,2.99954094564,2.9995412019,3.05925156711e-05,3.0577395778e-05,3.05938437656e-05,3.0577395778e-05,3.05925156711e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322380696,0.00605646729856,-0.00670875915688,0.00755390361253,20.2240318742,2.49689244974e-12,-3.76506145055e-21,1.74132156801e-05,8.92706767891e-10,2.6770266297e-09,-29.6231570863,-29.4369918957,-29.6408712855,-29.4369918957,-29.6231570863,-29.9994571792,-29.9994571792,0.825944315972,0.826508480091,0.825892272416,0.826508480091,0.825944315972,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,5.27155977422e-08,5.24977216122e-08,5.27386701039e-08,5.24977216122e-08,5.27155977422e-08,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098
0.2,0.001,0.0001,0,-29.5698071718,-29.3571643855,-29.5888868788,-29.3571643855,-29.5698071718,-29.9993026955,-29.9993026955,1,1,0.624511558772,1,1,0.820463838509,0.821103253363,0.820408330781,0.821103253363,0.820463838509,7.67241434757e-08,7.63554290675e-08,7.67615719043e-08,7.63554290675e-08,7.67241434757e-08,7.67241434757e-08,7.63554290675e-08,7.67615719043e-08,7.63554290675e-08,7.67241434757e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.82372577789e-07,1.81496147059e-07,1.82461544817e-07,1.81496147059e-07,1.82372577789e-07,2.99947762927,2.99947729932,2.99947766371,2.99947729932,2.99947762927,3.49592356876e-05,3.49400693119e-05,3.49608084059e-05,3.49400693119e-05,3.49592356876e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000031,0.200000030851,0.200000031015,0.200000030851,0.200000031,1.00126388854,1.49618507071,0.956856310546,1.49618507071,1.00126388854,-1.04064120084,-1.03915297751,-1.0407703938,-1.03915297751,-1.04064120084,7.67241434757e-08,7.63554290675e-08,7.67615719043e-08,7.63554290675e-08,7.67241434757e-08,23.1225577939,0.00797999341782,-0.00764987183426,0.00970486775333,23.1131830477,2.17199175312e-12,-4.42151198467e-21,1.74131121099e-05,1.1659843499e-09,3.05387446873e-09,-29.5698071718,-29.3571643855,-29.5888868788,-29.3571643855,-29.5698071718,-29.9993026955,-29.9993026955,0.820463838509,0.821103253363,0.820408330781,0.821103253363,0.820463838509,-29.5698071718,-29.3571643855,-29.5888868788,-29.3571643855,-29.5698071718,0.820463838509,0.821103253363,0.820408330781,0.821103253363,0.820463838509,7.67241434757e-08,7.63554290675e-08,7.67615719043e-08,7.63554290675e-08,7.67241434757e-08,-29.6832047702,-29.5266140138,-29.697255121,-29.5266140138,-29.6832047702,0.938321092987,0.938791959915,0.938280216937,0.938791959915,0.938321092987
0.225,0.001125,0.0001265625,0,-29.5165771662,-29.277484355,-29.5367377141,-29.277484355,-29.5165771662,-29.999129128,-29.999129128,1,1,0.624511558772,1,1,0.815641853109,0.816355904751,0.815583732422,0.816355904751,0.815641853109,1.07043555719e-07,1.06457161177e-07,1.07100518425e-07,1.06457161177e-07,1.07043555719e-07,1.07043555719e-07,1.06457161177e-07,1.07100518425e-07,1.06457161177e-07,1.07043555719e-07,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,2.54441539621e-07,2.53047685232e-07,2.54576939445e-07,2.53047685232e-07,2.54441539621e-07,2.99941433365,2.99941392135,2.99941437516,2.99941392135,2.99941433365,3.93250600764e-05,3.93013793887e-05,3.93268685021e-05,3.93013793887e-05,3.93250600764e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000031,0.200000030851,0.200000031015,0.200000030851,0.200000031,1.00126388854,1.49618507071,0.956856310546,1.49618507071,1.00126388854,-1.04064120084,-1.03915297751,-1.0407703938,-1.03915297751,-1.04064120084,7.67241434757e-08,7.63554290675e-08,7.67615719043e-08,7.63554290675e-08,7.67241434757e-08,26.0128775181,0.0101769297726,-0.00859100917978,0.0121219819223,26.0023414568,1.3023297718e-12,-4.21187133022e-21,1.74130448609e-05,1.47569894284e-09,3.43083805286e-09,-29.5165771662,-29.277484355,-29.5367377141,-29.277484355,-29.5165771662,-29.999129128,-29.999129128,0.815641853109,0.816355904751,0.815583732422,0.816355904751,0.815641853109,-29.5698071718,-29.3571643855,-29.5888868788,-29.3571643855,-29.5698071718,0.820463838509,0.821103253363,0.820408330781,0.821103253363,0.820463838509,1.07043555719e-07,1.06457161177e-07,1.07100518425e-07,1.06457161177e-07,1.07043555719e-07,-29.6832047702,-29.5266140138,-29.697255121,-29.5266140138,-29.6832047702,0.938321092987,0.938791959915,0.938280216937,0.938791959915,0.938321092987
